Year,State,Age Group (Years),State Rate,State Births
1/1/2000,Wisconsin,15-17 years,18.8,2222
1/1/2000,Wyoming,15-17 years,19,235
1/1/2001,Alabama,15-17 years,31.6,2975
1/1/2001,Alaska,15-17 years,18.9,302
1/1/2001,Arizona,15-17 years,38,4096
1/1/2001,Arkansas,15-17 years,31.5,1799
1/1/2001,California,15-17 years,23.9,17314
1/1/2001,Colorado,15-17 years,25.7,2342
1/1/2001,Connecticut,15-17 years,15.1,1004
1/1/2001,Delaware,15-17 years,27.6,438
1/1/2001,District of Columbia,15-17 years,41.5,347
1/1/2001,Florida,15-17 years,26.1,8012
1/1/2001,Georgia,15-17 years,33.2,5753
1/1/2001,Hawaii,15-17 years,20.2,480
1/1/2001,Idaho,15-17 years,18.9,602
1/1/2001,Illinois,15-17 years,25.4,6625
1/1/2001,Indiana,15-17 years,23.5,3037
1/1/2001,Iowa,15-17 years,16.5,1049
1/1/2001,Kansas,15-17 years,22.4,1369
1/1/2001,Kentucky,15-17 years,25.7,2110
1/1/2001,Louisiana,15-17 years,32.4,3434
1/1/2001,Maine,15-17 years,11.8,321
1/1/2001,Maryland,15-17 years,21,2307
1/1/2001,Massachusetts,15-17 years,13.5,1628
1/1/2001,Michigan,15-17 years,20.1,4267
1/1/2001,Minnesota,15-17 years,14.2,1583
1/1/2001,Mississippi,15-17 years,39,2542
1/1/2001,Missouri,15-17 years,23.3,2819
1/1/2001,Montana,15-17 years,17.9,382
1/1/2001,Nebraska,15-17 years,19.3,760
1/1/2001,Nevada,15-17 years,30.9,1222
1/1/2001,New Hampshire,15-17 years,10.1,264
1/1/2001,New Jersey,15-17 years,15.6,2553
1/1/2001,New Mexico,15-17 years,37.9,1650
1/1/2001,New York,15-17 years,17.3,6532
1/1/2001,North Carolina,15-17 years,30.5,4728
1/1/2001,North Dakota,15-17 years,11.7,174
1/1/2001,Ohio,15-17 years,21.9,5253
1/1/2001,Oklahoma,15-17 years,30.5,2325
1/1/2001,Oregon,15-17 years,20.6,1477
1/1/2001,Pennsylvania,15-17 years,17.8,4384
1/1/2001,Rhode Island,15-17 years,21.2,424
1/1/2001,South Carolina,15-17 years,31.3,2624
1/1/2001,South Dakota,15-17 years,18.6,337
1/1/2001,Tennessee,15-17 years,29.9,3417
1/1/2001,Texas,15-17 years,38.9,18701
1/1/2001,Utah,15-17 years,18.2,1086
1/1/2001,Vermont,15-17 years,10.2,135
1/1/2001,Virginia,15-17 years,20.6,2914
1/1/2001,Washington,15-17 years,17.6,2253
1/1/2001,West Virginia,15-17 years,22.8,784
1/1/2001,Wisconsin,15-17 years,18,2170
1/1/2001,Wyoming,15-17 years,18.3,220
1/1/2002,Alabama,15-17 years,30.9,2904
1/1/2002,Alaska,15-17 years,19.6,318
1/1/2002,Arizona,15-17 years,35.6,3979
1/1/2002,Arkansas,15-17 years,31.4,1788
1/1/2002,California,15-17 years,22.5,16667
1/1/2002,Colorado,15-17 years,26.3,2440
1/1/2002,Connecticut,15-17 years,14.4,986
1/1/2002,Delaware,15-17 years,23.8,384
1/1/2002,District of Columbia,15-17 years,41.5,348
1/1/2002,Florida,15-17 years,23.5,7436
1/1/2002,Georgia,15-17 years,31.3,5551
1/1/2002,Hawaii,15-17 years,17.5,414
1/1/2002,Idaho,15-17 years,18.3,582
1/1/2002,Illinois,15-17 years,23.2,6084
1/1/2002,Indiana,15-17 years,22.6,2939
1/1/2002,Iowa,15-17 years,16,1008
1/1/2002,Kansas,15-17 years,21,1275
1/1/2002,Kentucky,15-17 years,25.2,2068
1/1/2002,Louisiana,15-17 years,31.1,3247
1/1/2002,Maine,15-17 years,11.4,315
1/1/2002,Maryland,15-17 years,19.9,2245
1/1/2002,Massachusetts,15-17 years,12.2,1498
1/1/2002,Michigan,15-17 years,17.9,3853
1/1/2002,Minnesota,15-17 years,13.9,1571
1/1/2002,Mississippi,15-17 years,37.1,2384
1/1/2002,Missouri,15-17 years,21.9,2661
1/1/2002,Montana,15-17 years,17.4,366
1/1/2002,Nebraska,15-17 years,18,701
1/1/2002,Nevada,15-17 years,28.7,1186
1/1/2002,New Hampshire,15-17 years,8.2,222
1/1/2002,New Jersey,15-17 years,14.8,2478
1/1/2002,New Mexico,15-17 years,37.3,1640
1/1/2002,New York,15-17 years,15.4,5875
1/1/2002,North Carolina,15-17 years,28.7,4591
1/1/2002,North Dakota,15-17 years,11.3,163
1/1/2002,Ohio,15-17 years,20,4818
1/1/2002,Oklahoma,15-17 years,29.6,2235
1/1/2002,Oregon,15-17 years,18.2,1308
1/1/2002,Pennsylvania,15-17 years,17.1,4282
1/1/2002,Rhode Island,15-17 years,19.2,390
1/1/2002,South Carolina,15-17 years,28.2,2384
1/1/2002,South Dakota,15-17 years,17.1,305
1/1/2002,Tennessee,15-17 years,28,3232
1/1/2002,Texas,15-17 years,38.3,18726
1/1/2002,Utah,15-17 years,16.8,998
1/1/2002,Vermont,15-17 years,10.2,136
1/1/2002,Virginia,15-17 years,18.9,2749
1/1/2002,Washington,15-17 years,16.7,2155
1/1/2002,West Virginia,15-17 years,21.5,736
1/1/2002,Wisconsin,15-17 years,15.7,1899
1/1/2002,Wyoming,15-17 years,17.7,211
1/1/2003,Alabama,15-17 years,28.5,2665
1/1/2003,Alaska,15-17 years,19.8,320
1/1/2003,Arizona,15-17 years,36.2,4133
1/1/2003,Arkansas,15-17 years,30.4,1728
1/1/2003,California,15-17 years,21.5,16197
1/1/2003,Colorado,15-17 years,24.7,2307
1/1/2003,Connecticut,15-17 years,12.8,904
1/1/2003,Delaware,15-17 years,23.5,387
1/1/2003,District of Columbia,15-17 years,35.2,296
1/1/2003,Florida,15-17 years,22.4,7226
1/1/2003,Georgia,15-17 years,28.8,5222
1/1/2003,Hawaii,15-17 years,18.3,444
1/1/2003,Idaho,15-17 years,17.3,544
1/1/2003,Illinois,15-17 years,22.6,5923
1/1/2003,Indiana,15-17 years,21.7,2823
1/1/2003,Iowa,15-17 years,14.8,915
1/1/2003,Kansas,15-17 years,19.8,1188
1/1/2003,Kentucky,15-17 years,24.5,2008
1/1/2003,Louisiana,15-17 years,29.4,3007
1/1/2003,Maine,15-17 years,12.3,339
1/1/2003,Maryland,15-17 years,18.1,2082
1/1/2003,Massachusetts,15-17 years,11.7,1474
1/1/2003,Michigan,15-17 years,18.1,3900
1/1/2003,Minnesota,15-17 years,13.1,1469
1/1/2003,Mississippi,15-17 years,34.9,2216
1/1/2003,Missouri,15-17 years,21.2,2577
1/1/2003,Montana,15-17 years,16.1,333
1/1/2003,Nebraska,15-17 years,18.1,696
1/1/2003,Nevada,15-17 years,29.3,1258
1/1/2003,New Hampshire,15-17 years,7.2,199
1/1/2003,New Jersey,15-17 years,13.8,2366
1/1/2003,New Mexico,15-17 years,37,1619
1/1/2003,New York,15-17 years,14.4,5573
1/1/2003,North Carolina,15-17 years,26.6,4379
1/1/2003,North Dakota,15-17 years,11.8,162
1/1/2003,Ohio,15-17 years,19.9,4795
1/1/2003,Oklahoma,15-17 years,28.3,2122
1/1/2003,Oregon,15-17 years,17,1225
1/1/2003,Pennsylvania,15-17 years,17.3,4379
1/1/2003,Rhode Island,15-17 years,18.7,386
1/1/2003,South Carolina,15-17 years,28.6,2446
1/1/2003,South Dakota,15-17 years,17.3,306
1/1/2003,Tennessee,15-17 years,27.6,3211
1/1/2003,Texas,15-17 years,37,18274
1/1/2003,Utah,15-17 years,15.7,921
1/1/2003,Vermont,15-17 years,6.6,88
1/1/2003,Virginia,15-17 years,17.5,2581
1/1/2003,Washington,15-17 years,15.3,1976
1/1/2003,West Virginia,15-17 years,21.1,714
1/1/2003,Wisconsin,15-17 years,15.5,1860
1/1/2003,Wyoming,15-17 years,19.2,221
1/1/2004,Alabama,15-17 years,28.4,2682
1/1/2004,Alaska,15-17 years,17.6,285
1/1/2004,Arizona,15-17 years,36.2,4246
1/1/2004,Arkansas,15-17 years,30.4,1732
1/1/2004,California,15-17 years,21.1,16266
1/1/2004,Colorado,15-17 years,25.1,2358
1/1/2004,Connecticut,15-17 years,12.7,917
1/1/2004,Delaware,15-17 years,24.5,412
1/1/2004,District of Columbia,15-17 years,38.6,327
1/1/2004,Florida,15-17 years,22.3,7442
1/1/2004,Georgia,15-17 years,29.1,5417
1/1/2004,Hawaii,15-17 years,17.9,441
1/1/2004,Idaho,15-17 years,16.3,520
1/1/2004,Illinois,15-17 years,22.6,5973
1/1/2004,Indiana,15-17 years,21,2749
1/1/2004,Iowa,15-17 years,14.6,896
1/1/2004,Kansas,15-17 years,20,1197
1/1/2004,Kentucky,15-17 years,23.6,1934
1/1/2004,Louisiana,15-17 years,29.4,2990
1/1/2004,Maine,15-17 years,10.4,287
1/1/2004,Maryland,15-17 years,17.9,2112
1/1/2004,Massachusetts,15-17 years,11.4,1453
1/1/2004,Michigan,15-17 years,17.7,3835
1/1/2004,Minnesota,15-17 years,13.2,1479
1/1/2004,Mississippi,15-17 years,33.3,2127
1/1/2004,Missouri,15-17 years,21.6,2626
1/1/2004,Montana,15-17 years,17,348
1/1/2004,Nebraska,15-17 years,17.7,670
1/1/2004,Nevada,15-17 years,28,1268
1/1/2004,New Hampshire,15-17 years,7.9,222
1/1/2004,New Jersey,15-17 years,12.5,2218
1/1/2004,New Mexico,15-17 years,37.3,1643
1/1/2004,New York,15-17 years,13.8,5430
1/1/2004,North Carolina,15-17 years,26.2,4427
1/1/2004,North Dakota,15-17 years,10.6,143
1/1/2004,Ohio,15-17 years,18.9,4577
1/1/2004,Oklahoma,15-17 years,28.9,2147
1/1/2004,Oregon,15-17 years,16.3,1181
1/1/2004,Pennsylvania,15-17 years,16.4,4208
1/1/2004,Rhode Island,15-17 years,17.1,360
1/1/2004,South Carolina,15-17 years,28.5,2496
1/1/2004,South Dakota,15-17 years,17,298
1/1/2004,Tennessee,15-17 years,26,3076
1/1/2004,Texas,15-17 years,36.6,18268
1/1/2004,Utah,15-17 years,14.6,858
1/1/2004,Vermont,15-17 years,8.1,109
1/1/2004,Virginia,15-17 years,17.4,2633
1/1/2004,Washington,15-17 years,15.4,2007
1/1/2004,West Virginia,15-17 years,21.3,715
1/1/2004,Wisconsin,15-17 years,14.8,1763
1/1/2004,Wyoming,15-17 years,19,212
1/1/2005,Alabama,15-17 years,25.7,2490
1/1/2005,Alaska,15-17 years,17.4,290
1/1/2005,Arizona,15-17 years,34.3,4212
1/1/2005,Arkansas,15-17 years,28.7,1667
1/1/2005,California,15-17 years,20.9,16744
1/1/2005,Colorado,15-17 years,23.8,2285
1/1/2005,Connecticut,15-17 years,12.1,903
1/1/2005,Delaware,15-17 years,21.6,381
1/1/2005,District of Columbia,15-17 years,37,327
1/1/2005,Florida,15-17 years,21.7,7583
1/1/2005,Georgia,15-17 years,27.3,5303
1/1/2005,Hawaii,15-17 years,18.4,466
1/1/2005,Idaho,15-17 years,16.1,530
1/1/2005,Illinois,15-17 years,21.3,5792
1/1/2005,Indiana,15-17 years,20.6,2758
1/1/2005,Iowa,15-17 years,15.5,965
1/1/2005,Kansas,15-17 years,19.1,1154
1/1/2005,Kentucky,15-17 years,24,2013
1/1/2005,Louisiana,15-17 years,24.8,2527
1/1/2005,Maine,15-17 years,10.5,292
1/1/2005,Maryland,15-17 years,16.8,2051
1/1/2005,Massachusetts,15-17 years,11,1440
1/1/2005,Michigan,15-17 years,16.7,3737
1/1/2005,Minnesota,15-17 years,12,1366
1/1/2005,Mississippi,15-17 years,32.2,2111
1/1/2005,Missouri,15-17 years,20.6,2558
1/1/2005,Montana,15-17 years,16.7,348
1/1/2005,Nebraska,15-17 years,18.2,695
1/1/2005,Nevada,15-17 years,28,1353
1/1/2005,New Hampshire,15-17 years,7.1,203
1/1/2005,New Jersey,15-17 years,12,2195
1/1/2005,New Mexico,15-17 years,36.5,1619
1/1/2005,New York,15-17 years,13.3,5345
1/1/2005,North Carolina,15-17 years,25.6,4524
1/1/2005,North Dakota,15-17 years,13.2,176
1/1/2005,Ohio,15-17 years,19.1,4713
1/1/2005,Oklahoma,15-17 years,26.8,2020
1/1/2005,Oregon,15-17 years,15.6,1157
1/1/2005,Pennsylvania,15-17 years,15.9,4168
1/1/2005,Rhode Island,15-17 years,16.6,360
1/1/2005,South Carolina,15-17 years,27.1,2474
1/1/2005,South Dakota,15-17 years,19,331
1/1/2005,Tennessee,15-17 years,26.7,3266
1/1/2005,Texas,15-17 years,35.4,18101
1/1/2005,Utah,15-17 years,15.4,917
1/1/2005,Vermont,15-17 years,7.8,104
1/1/2005,Virginia,15-17 years,16.2,2522
1/1/2005,Washington,15-17 years,14.8,1967
1/1/2005,West Virginia,15-17 years,20.7,708
1/1/2005,Wisconsin,15-17 years,14.8,1778
1/1/2005,Wyoming,15-17 years,18.5,202
1/1/2006,Alabama,15-17 years,27.1,2690
1/1/2006,Alaska,15-17 years,18.6,314
1/1/2006,Arizona,15-17 years,34.9,4466
1/1/2006,Arkansas,15-17 years,30.3,1794
1/1/2006,California,15-17 years,21,17218
1/1/2006,Colorado,15-17 years,23.8,2313
1/1/2006,Connecticut,15-17 years,12,913
1/1/2006,Delaware,15-17 years,21.7,390
1/1/2006,District of Columbia,15-17 years,41.4,376
1/1/2006,Florida,15-17 years,22.4,8079
1/1/2006,Georgia,15-17 years,28.7,5792
1/1/2006,Hawaii,15-17 years,20.1,523
1/1/2006,Idaho,15-17 years,17.7,594
1/1/2006,Illinois,15-17 years,22.2,6114
1/1/2006,Indiana,15-17 years,20.4,2789
1/1/2006,Iowa,15-17 years,15.9,1000
1/1/2006,Kansas,15-17 years,19.2,1153
1/1/2006,Kentucky,15-17 years,25.5,2187
1/1/2008,Oregon,15-17 years,18.1,1352
1/1/2006,Louisiana,15-17 years,27.7,2651
1/1/2006,Maine,15-17 years,9.8,271
1/1/2006,Maryland,15-17 years,17.2,2130
1/1/2006,Massachusetts,15-17 years,10.4,1378
1/1/2006,Michigan,15-17 years,16.8,3802
1/1/2006,Minnesota,15-17 years,13.5,1534
1/1/2006,Mississippi,15-17 years,39.2,2596
1/1/2006,Missouri,15-17 years,22.5,2831
1/1/2006,Montana,15-17 years,17.3,359
1/1/2006,Nebraska,15-17 years,16.2,617
1/1/2006,Nevada,15-17 years,27.9,1430
1/1/2006,New Hampshire,15-17 years,7.6,217
1/1/2006,New Jersey,15-17 years,11.8,2201
1/1/2006,New Mexico,15-17 years,35.3,1592
1/1/2006,New York,15-17 years,12.9,5220
1/1/2006,North Carolina,15-17 years,25.3,4616
1/1/2006,North Dakota,15-17 years,12.3,165
1/1/2006,Ohio,15-17 years,19.4,4840
1/1/2006,Oklahoma,15-17 years,29.9,2282
1/1/2006,Oregon,15-17 years,17.4,1310
1/1/2006,Pennsylvania,15-17 years,16.3,4319
1/1/2006,Rhode Island,15-17 years,17.8,387
1/1/2006,South Carolina,15-17 years,28.6,2673
1/1/2006,South Dakota,15-17 years,18.6,319
1/1/2006,Tennessee,15-17 years,26.9,3394
1/1/2006,Texas,15-17 years,35.3,18548
1/1/2006,Utah,15-17 years,16.2,983
1/1/2006,Vermont,15-17 years,7.9,106
1/1/2006,Virginia,15-17 years,16.5,2624
1/1/2006,Washington,15-17 years,15.3,2062
1/1/2006,West Virginia,15-17 years,21.3,742
1/1/2006,Wisconsin,15-17 years,15.2,1840
1/1/2006,Wyoming,15-17 years,18.2,199
1/1/2007,Alabama,15-17 years,28.1,2815
1/1/2007,Alaska,15-17 years,16.3,271
1/1/2007,Arizona,15-17 years,33.4,4379
1/1/2007,Arkansas,15-17 years,30.5,1809
1/1/2007,California,15-17 years,21.2,17592
1/1/2007,Colorado,15-17 years,22.7,2229
1/1/2007,Connecticut,15-17 years,11.6,883
1/1/2007,Delaware,15-17 years,21.5,391
1/1/2007,District of Columbia,15-17 years,42.9,395
1/1/2007,Florida,15-17 years,22.4,8121
1/1/2007,Georgia,15-17 years,28,5767
1/1/2007,Hawaii,15-17 years,18.2,472
1/1/2007,Idaho,15-17 years,18.6,626
1/1/2007,Illinois,15-17 years,21.7,5996
1/1/2007,Indiana,15-17 years,21.5,2962
1/1/2007,Iowa,15-17 years,15.4,974
1/1/2007,Kansas,15-17 years,21.2,1276
1/1/2007,Kentucky,15-17 years,25,2164
1/1/2007,Louisiana,15-17 years,28.4,2725
1/1/2007,Maine,15-17 years,9.2,251
1/1/2007,Maryland,15-17 years,17.8,2203
1/1/2007,Massachusetts,15-17 years,11.7,1547
1/1/2007,Michigan,15-17 years,17,3886
1/1/2007,Minnesota,15-17 years,13.5,1522
1/1/2007,Mississippi,15-17 years,39.9,2647
1/1/2007,Missouri,15-17 years,21.2,2688
1/1/2007,Montana,15-17 years,16.5,342
1/1/2007,Nebraska,15-17 years,17.9,687
1/1/2007,Nevada,15-17 years,27.5,1466
1/1/2007,New Hampshire,15-17 years,7.5,213
1/1/2007,New Jersey,15-17 years,12,2233
1/1/2007,New Mexico,15-17 years,35.7,1604
1/1/2007,New York,15-17 years,13,5285
1/1/2007,North Carolina,15-17 years,25.6,4780
1/1/2007,North Dakota,15-17 years,14.5,189
1/1/2007,Ohio,15-17 years,19.3,4800
1/1/2007,Oklahoma,15-17 years,29.9,2300
1/1/2007,Oregon,15-17 years,16.3,1235
1/1/2007,Pennsylvania,15-17 years,16.3,4320
1/1/2007,Rhode Island,15-17 years,17.7,386
1/1/2007,South Carolina,15-17 years,27,2543
1/1/2007,South Dakota,15-17 years,19.6,335
1/1/2007,Tennessee,15-17 years,26.4,3363
1/1/2007,Texas,15-17 years,35.4,18988
1/1/2007,Utah,15-17 years,18.5,1135
1/1/2007,Vermont,15-17 years,8.4,111
1/1/2007,Virginia,15-17 years,16.3,2607
1/1/2007,Washington,15-17 years,16.3,2217
1/1/2007,West Virginia,15-17 years,20.7,731
1/1/2007,Wisconsin,15-17 years,15.5,1865
1/1/2007,Wyoming,15-17 years,21.8,240
1/1/2008,Alabama,15-17 years,25.8,2569
1/1/2008,Alaska,15-17 years,19,301
1/1/2008,Arizona,15-17 years,31.6,4164
1/1/2008,Arkansas,15-17 years,30.5,1789
1/1/2008,California,15-17 years,20.7,17018
1/1/2008,Colorado,15-17 years,22.1,2175
1/1/2008,Connecticut,15-17 years,11.3,846
1/1/2008,Delaware,15-17 years,20.3,371
1/1/2008,District of Columbia,15-17 years,43.9,389
1/1/2008,Florida,15-17 years,20.5,7279
1/1/2008,Georgia,15-17 years,26.7,5513
1/1/2008,Hawaii,15-17 years,16.9,432
1/1/2008,Idaho,15-17 years,19.4,651
1/1/2008,Illinois,15-17 years,20.7,5652
1/1/2008,Indiana,15-17 years,20,2731
1/1/2008,Iowa,15-17 years,16.5,1025
1/1/2008,Kansas,15-17 years,21.5,1261
1/1/2008,Kentucky,15-17 years,24.8,2139
1/1/2008,Louisiana,15-17 years,27.3,2593
1/1/2008,Maine,15-17 years,10,267
1/1/2008,Maryland,15-17 years,16.9,2058
1/1/2008,Massachusetts,15-17 years,10.5,1361
1/1/2008,Michigan,15-17 years,16.4,3637
1/1/2008,Minnesota,15-17 years,12.4,1374
1/1/2008,Mississippi,15-17 years,34.6,2275
1/1/2008,Missouri,15-17 years,21.3,2666
1/1/2008,Montana,15-17 years,18.2,367
1/1/2008,Nebraska,15-17 years,17.8,669
1/1/2008,Nevada,15-17 years,27,1457
1/1/2008,New Hampshire,15-17 years,7.6,212
1/1/2008,New Jersey,15-17 years,11.6,2136
1/1/2008,New Mexico,15-17 years,36,1599
1/1/2008,New York,15-17 years,12.8,5091
1/1/2008,North Carolina,15-17 years,25.3,4732
1/1/2008,North Dakota,15-17 years,13.8,176
1/1/2008,Ohio,15-17 years,19.2,4720
1/1/2008,Oklahoma,15-17 years,30.3,2300
1/1/2008,Pennsylvania,15-17 years,16.5,4272
1/1/2008,Rhode Island,15-17 years,17.1,364
1/1/2008,South Carolina,15-17 years,27.1,2525
1/1/2008,South Dakota,15-17 years,20.5,344
1/1/2008,Tennessee,15-17 years,26.2,3331
1/1/2008,Texas,15-17 years,35,18945
1/1/2008,Utah,15-17 years,18.2,1122
1/1/2008,Vermont,15-17 years,7.3,93
1/1/2008,Virginia,15-17 years,15,2371
1/1/2008,Washington,15-17 years,15.7,2132
1/1/2008,West Virginia,15-17 years,22.8,786
1/1/2008,Wisconsin,15-17 years,15.1,1787
1/1/2008,Wyoming,15-17 years,22.6,245
1/1/2009,Alabama,15-17 years,25.4,2493
1/1/2009,Alaska,15-17 years,18.3,287
1/1/2009,Arizona,15-17 years,26.8,3527
1/1/2009,Arkansas,15-17 years,29.2,1690
1/1/2009,California,15-17 years,18.9,15419
1/1/2009,Colorado,15-17 years,20.2,1974
1/1/2009,Connecticut,15-17 years,10.3,765
1/1/2009,Delaware,15-17 years,17.6,318
1/1/2009,District of Columbia,15-17 years,42.1,365
1/1/2009,Florida,15-17 years,18,6315
1/1/2009,Georgia,15-17 years,23.6,4854
1/1/2009,Hawaii,15-17 years,16.8,421
1/1/2009,Idaho,15-17 years,16.5,551
1/1/2009,Illinois,15-17 years,18.6,5045
1/1/2009,Indiana,15-17 years,20.2,2741
1/1/2009,Iowa,15-17 years,15.5,947
1/1/2009,Kansas,15-17 years,19.9,1163
1/1/2009,Kentucky,15-17 years,24.5,2080
1/1/2009,Louisiana,15-17 years,26.9,2534
1/1/2009,Maine,15-17 years,9.7,251
1/1/2009,Maryland,15-17 years,15.8,1881
1/1/2009,Massachusetts,15-17 years,10.4,1320
1/1/2009,Michigan,15-17 years,15.7,3367
1/1/2009,Minnesota,15-17 years,11.1,1205
1/1/2009,Mississippi,15-17 years,34.5,2244
1/1/2009,Missouri,15-17 years,19.4,2371
1/1/2009,Montana,15-17 years,18.5,358
1/1/2009,Nebraska,15-17 years,17,632
1/1/2009,Nevada,15-17 years,23.6,1280
1/1/2009,New Hampshire,15-17 years,6.9,187
1/1/2009,New Jersey,15-17 years,10.6,1929
1/1/2009,New Mexico,15-17 years,34.1,1486
1/1/2009,New York,15-17 years,12,4703
1/1/2009,North Carolina,15-17 years,22.5,4193
1/1/2009,North Dakota,15-17 years,12.9,161
1/1/2009,Ohio,15-17 years,18.2,4394
1/1/2009,Oklahoma,15-17 years,29.4,2203
1/1/2009,Oregon,15-17 years,15.9,1165
1/1/2009,Pennsylvania,15-17 years,15.2,3868
1/1/2009,Rhode Island,15-17 years,17.5,366
1/1/2009,South Carolina,15-17 years,24.1,2217
1/1/2009,South Dakota,15-17 years,18.3,303
1/1/2009,Tennessee,15-17 years,23.5,2957
1/1/2009,Texas,15-17 years,32.8,17921
1/1/2009,Utah,15-17 years,16,990
1/1/2009,Vermont,15-17 years,6.5,81
1/1/2009,Virginia,15-17 years,14.1,2204
1/1/2009,Washington,15-17 years,14.1,1889
1/1/2009,West Virginia,15-17 years,24.2,816
1/1/2009,Wisconsin,15-17 years,13.9,1609
1/1/2009,Wyoming,15-17 years,19,207
1/1/2010,Alabama,15-17 years,22.9,2224
1/1/2010,Alaska,15-17 years,16.3,251
1/1/2010,Arizona,15-17 years,22.3,2934
1/1/2010,Arkansas,15-17 years,24.7,1435
1/1/2010,California,15-17 years,16.4,13314
1/1/2010,Colorado,15-17 years,17.7,1717
1/1/2010,Connecticut,15-17 years,8.4,622
1/1/2010,Delaware,15-17 years,16,285
1/1/2010,District of Columbia,15-17 years,35.7,303
1/1/2010,Florida,15-17 years,15.5,5393
1/1/2010,Georgia,15-17 years,21.2,4330
1/1/2010,Hawaii,15-17 years,12.9,324
1/1/2010,Idaho,15-17 years,15.1,504
1/1/2010,Illinois,15-17 years,17.2,4645
1/1/2010,Indiana,15-17 years,18.4,2484
1/1/2010,Iowa,15-17 years,13.3,800
1/1/2010,Kansas,15-17 years,19.2,1113
1/1/2010,Kentucky,15-17 years,21.9,1847
1/1/2010,Louisiana,15-17 years,23.5,2189
1/1/2010,Maine,15-17 years,8.3,208
1/1/2010,Maryland,15-17 years,13.5,1602
1/1/2010,Massachusetts,15-17 years,9,1137
1/1/2010,Michigan,15-17 years,14.1,2968
1/1/2010,Minnesota,15-17 years,10,1071
1/1/2010,Mississippi,15-17 years,30.6,1959
1/1/2010,Missouri,15-17 years,17,2048
1/1/2010,Montana,15-17 years,12.9,245
1/1/2010,Nebraska,15-17 years,14.8,544
1/1/2010,Nevada,15-17 years,18.9,1023
1/1/2010,New Hampshire,15-17 years,6.1,164
1/1/2010,New Jersey,15-17 years,9.6,1732
1/1/2010,New Mexico,15-17 years,29.9,1290
1/1/2010,New York,15-17 years,11.2,4338
1/1/2010,North Carolina,15-17 years,19.9,3704
1/1/2010,North Dakota,15-17 years,13.4,165
1/1/2010,Ohio,15-17 years,16,3811
1/1/2010,Oklahoma,15-17 years,25.9,1918
1/1/2010,Oregon,15-17 years,13.3,963
1/1/2010,Pennsylvania,15-17 years,14.2,3574
1/1/2010,Rhode Island,15-17 years,13.7,284
1/1/2010,South Carolina,15-17 years,22.3,2017
1/1/2010,South Dakota,15-17 years,15.9,260
1/1/2010,Tennessee,15-17 years,20.3,2536
1/1/2010,Texas,15-17 years,29.3,16027
1/1/2010,Utah,15-17 years,14,879
1/1/2010,Vermont,15-17 years,7.5,91
1/1/2010,Virginia,15-17 years,12.5,1956
1/1/2010,Washington,15-17 years,13,1725
1/1/2010,West Virginia,15-17 years,21.1,694
1/1/2010,Wisconsin,15-17 years,11.7,1345
1/1/2010,Wyoming,15-17 years,17,181
1/1/2013,Kansas,15-17 years,12.5,722
1/1/2011,Alabama,15-17 years,20.7,1983
1/1/2011,Alaska,15-17 years,13.3,201
1/1/2011,Arizona,15-17 years,18.7,2462
1/1/2011,Arkansas,15-17 years,23.2,1323
1/1/2011,California,15-17 years,14.8,11833
1/1/2011,Colorado,15-17 years,14.4,1383
1/1/2011,Connecticut,15-17 years,7.3,535
1/1/2011,Delaware,15-17 years,14.3,248
1/1/2011,District of Columbia,15-17 years,33.6,279
1/1/2011,Florida,15-17 years,13.7,4719
1/1/2011,Georgia,15-17 years,19,3839
1/1/2011,Hawaii,15-17 years,12,297
1/1/2011,Idaho,15-17 years,11.5,384
1/1/2011,Illinois,15-17 years,15.4,4091
1/1/2011,Indiana,15-17 years,16,2132
1/1/2011,Iowa,15-17 years,11.8,700
1/1/2011,Kansas,15-17 years,15.5,896
1/1/2011,Kentucky,15-17 years,19.6,1629
1/1/2011,Louisiana,15-17 years,20.7,1881
1/1/2011,Maine,15-17 years,9.3,226
1/1/2011,Maryland,15-17 years,12.1,1397
1/1/2011,Massachusetts,15-17 years,7.9,988
1/1/2011,Michigan,15-17 years,12.6,2582
1/1/2011,Minnesota,15-17 years,8.8,927
1/1/2011,Mississippi,15-17 years,26.1,1626
1/1/2011,Missouri,15-17 years,15.8,1871
1/1/2011,Montana,15-17 years,12.4,231
1/1/2011,Nebraska,15-17 years,12.6,459
1/1/2011,Nevada,15-17 years,18.4,988
1/1/2011,New Hampshire,15-17 years,5.4,142
1/1/2011,New Jersey,15-17 years,8.8,1567
1/1/2011,New Mexico,15-17 years,26.3,1110
1/1/2011,New York,15-17 years,10.1,3823
1/1/2011,North Carolina,15-17 years,16.6,3055
1/1/2011,North Dakota,15-17 years,10.7,131
1/1/2011,Ohio,15-17 years,14.4,3344
1/1/2011,Oklahoma,15-17 years,22.9,1685
1/1/2011,Oregon,15-17 years,11.9,851
1/1/2011,Pennsylvania,15-17 years,12.9,3154
1/1/2011,Rhode Island,15-17 years,12.6,251
1/1/2011,South Carolina,15-17 years,19.2,1685
1/1/2011,South Dakota,15-17 years,15.2,245
1/1/2011,Tennessee,15-17 years,18.5,2291
1/1/2011,Texas,15-17 years,25.6,14057
1/1/2011,Utah,15-17 years,11.1,700
1/1/2011,Vermont,15-17 years,8.2,95
1/1/2011,Virginia,15-17 years,11.2,1709
1/1/2011,Washington,15-17 years,11.7,1521
1/1/2011,West Virginia,15-17 years,20.5,669
